Date,Ball1,Ball2,Ball3,Ball4,Ball5,Ball6
11/09/2017,03,12,30,39,60,01
11/13/2017,09,17,21,29,58,03
11/16/2017,15,16,19,42,52,03
11/20/2017,03,04,22,38,59,03
11/23/2017,04,33,56,58,59,04
11/27/2017,25,27,42,50,57,01
11/30/2017,02,05,18,23,59,01
12/04/2017,16,17,46,51,52,01
12/07/2017,02,05,39,54,56,03
12/11/2017,02,16,30,40,53,03
12/14/2017,07,24,32,44,52,03
12/18/2017,08,09,12,21,45,01
12/21/2017,01,09,25,37,60,01
12/25/2017,02,18,34,42,57,03
12/28/2017,09,14,24,41,46,02
01/01/2018,12,18,20,31,38,04
01/04/2018,12,22,42,43,53,03
01/08/2018,03,11,44,47,58,03
01/11/2018,18,22,23,41,53,01
01/15/2018,12,25,31,33,58,04
01/18/2018,26,36,42,58,60,01
01/22/2018,01,05,10,28,57,03
01/25/2018,01,06,24,41,44,02
01/29/2018,06,11,14,16,52,01
02/01/2018,10,20,21,25,52,01
02/05/2018,30,36,39,55,60,01
02/08/2018,09,37,47,51,55,04
02/12/2018,01,05,17,21,33,04
02/15/2018,01,43,44,53,54,01
02/19/2018,10,16,23,31,53,02
02/22/2018,26,28,38,47,51,01
02/26/2018,29,31,40,45,59,03
03/01/2018,05,06,07,12,36,02
03/05/2018,01,47,52,54,58,02
03/08/2018,06,34,36,44,55,04
03/12/2018,05,29,35,36,49,04
03/15/2018,11,12,31,49,59,01
03/19/2018,03,26,30,51,53,04
03/22/2018,02,08,15,40,41,04
03/26/2018,02,09,23,47,54,03
03/29/2018,34,35,36,46,58,01
04/02/2018,07,12,21,24,40,02
04/05/2018,03,10,21,24,59,01
04/09/2018,10,19,29,45,48,04
04/12/2018,02,06,14,22,40,01
04/16/2018,08,11,15,26,50,03
04/19/2018,04,15,28,35,42,02
04/23/2018,16,21,22,47,52,03
04/26/2018,07,32,33,36,59,03
04/30/2018,02,11,14,45,49,03
05/03/2018,02,07,11,30,59,03
05/07/2018,04,15,19,22,51,02
05/10/2018,11,36,41,43,48,04
05/14/2018,01,04,06,13,32,02
05/17/2018,08,40,41,43,51,02
05/21/2018,08,18,22,37,44,01
05/24/2018,05,13,35,49,56,02
05/28/2018,13,29,31,34,47,01
05/31/2018,01,28,42,47,55,04
06/04/2018,04,13,30,38,53,03
06/07/2018,17,22,38,42,45,04
06/11/2018,14,32,33,43,55,04
06/14/2018,12,14,24,27,55,04
06/18/2018,04,27,28,40,59,02
06/21/2018,03,13,16,17,24,03
06/25/2018,12,33,37,55,58,04
06/28/2018,04,13,17,34,49,01
07/02/2018,04,13,24,53,59,01
07/05/2018,16,21,28,31,44,04
07/09/2018,09,12,16,20,60,01
07/12/2018,01,20,28,48,56,04
07/16/2018,17,18,45,46,55,01
07/19/2018,09,12,20,38,52,01
07/23/2018,04,13,25,27,58,04
07/26/2018,02,20,33,38,45,04
07/30/2018,21,45,48,51,58,01
08/02/2018,01,10,14,29,30,01
08/06/2018,13,50,53,58,60,03
08/09/2018,01,24,26,48,60,01
08/13/2018,07,09,17,39,58,04
08/16/2018,09,25,28,29,48,01
08/20/2018,06,23,27,45,54,01
08/23/2018,05,23,26,31,51,03
08/27/2018,18,22,30,35,53,01
08/30/2018,05,45,50,52,53,01
09/03/2018,19,22,24,31,37,01
09/06/2018,06,11,13,32,38,03
09/10/2018,08,13,19,41,42,04
09/13/2018,21,26,42,51,59,01
09/17/2018,12,13,26,43,54,03
09/20/2018,26,32,47,49,51,02
09/24/2018,07,19,22,37,49,01
09/27/2018,21,25,34,38,42,02
10/01/2018,02,21,31,36,52,01
10/04/2018,06,08,26,34,42,03
10/08/2018,11,26,30,41,45,01
10/11/2018,21,27,46,51,53,04
10/15/2018,21,23,31,55,57,04
10/18/2018,07,08,16,20,44,03
10/22/2018,01,11,19,24,46,01
10/25/2018,27,33,34,42,43,04
10/29/2018,07,23,25,35,38,04
11/01/2018,03,11,32,51,56,02
11/05/2018,19,39,40,47,60,04
11/08/2018,31,35,42,44,52,04
11/12/2018,04,15,44,51,52,02
11/15/2018,15,24,36,37,41,02
11/19/2018,14,16,28,46,49,04
11/22/2018,18,24,41,43,55,04
11/26/2018,18,32,35,52,58,02
11/29/2018,29,41,48,52,57,04
12/03/2018,05,30,40,58,60,04
12/06/2018,28,32,35,42,48,04
12/10/2018,11,28,41,47,53,03
12/13/2018,04,11,18,23,47,02
12/17/2018,09,19,21,44,50,01
12/20/2018,04,29,30,40,47,04
12/24/2018,03,28,31,37,40,02
12/27/2018,01,07,36,50,52,04
12/31/2018,18,28,39,46,54,02
01/03/2019,05,09,25,33,55,02
01/07/2019,20,27,34,57,59,02
01/10/2019,05,44,45,47,54,03
01/14/2019,17,18,42,50,57,01
01/17/2019,01,22,23,29,52,02
01/21/2019,04,08,27,28,32,04
01/24/2019,13,34,36,49,55,03
01/28/2019,22,24,26,42,51,03
01/31/2019,14,16,26,39,56,04
02/04/2019,03,17,33,39,40,04
02/07/2019,20,28,50,51,60,03
02/11/2019,01,02,39,50,60,04
02/14/2019,07,10,21,33,48,02
02/18/2019,01,37,39,48,54,04
02/21/2019,03,04,34,38,39,02
02/25/2019,18,24,42,55,58,03
02/28/2019,03,15,18,21,35,02
03/04/2019,06,09,45,49,55,04
03/07/2019,07,14,20,38,58,01
03/11/2019,12,17,18,38,46,02
03/14/2019,11,13,32,51,55,01
03/18/2019,11,26,39,49,50,02
03/21/2019,15,21,27,31,52,04
03/25/2019,17,25,33,47,51,04
03/28/2019,04,06,21,37,58,01
04/01/2019,02,37,43,48,51,03
04/04/2019,03,06,08,09,35,04
04/08/2019,03,11,23,34,36,02
04/11/2019,06,09,34,37,43,04
04/15/2019,03,13,19,36,50,02
04/18/2019,22,30,33,49,55,01
04/22/2019,17,20,24,33,57,04
04/25/2019,37,47,52,55,60,03
04/29/2019,01,21,24,30,35,01
05/02/2019,06,10,16,36,45,02
05/06/2019,32,34,47,48,51,03
05/09/2019,12,22,27,43,46,03
05/13/2019,27,29,39,42,50,03
05/16/2019,01,36,45,53,56,01
05/20/2019,04,11,14,20,24,04
05/23/2019,34,38,40,41,49,04
05/27/2019,22,24,33,36,51,01
05/30/2019,02,23,40,51,59,01
06/03/2019,17,25,45,53,59,02
06/06/2019,06,16,27,41,58,03
06/10/2019,25,28,38,40,48,02
06/13/2019,13,27,32,35,40,02
06/17/2019,31,36,45,46,59,04
06/20/2019,34,43,45,56,57,02
06/24/2019,07,10,18,21,28,04
06/27/2019,11,14,17,28,39,01
07/01/2019,08,32,34,45,51,03
07/02/2019,05,10,41,53,54,02
07/03/2019,06,08,51,55,57,03
07/04/2019,02,09,18,25,51,03
07/05/2019,15,39,40,43,53,02
07/06/2019,01,05,28,32,53,01
07/07/2019,04,24,34,39,55,03
07/08/2019,07,15,19,45,55,03
07/09/2019,08,10,18,24,48,04
07/10/2019,09,20,34,58,60,04
07/11/2019,04,29,40,47,48,02
07/12/2019,07,31,38,51,59,01
07/13/2019,02,05,16,30,59,03
07/14/2019,12,18,20,30,44,02
07/15/2019,07,25,33,38,47,03
07/16/2019,14,15,19,25,29,04
07/17/2019,09,18,35,59,60,03
07/18/2019,23,25,27,31,40,02
07/19/2019,11,22,34,51,59,04
07/20/2019,04,24,39,58,59,04
07/21/2019,05,13,25,50,58,02
07/22/2019,05,21,28,56,58,03
07/23/2019,24,46,50,55,60,02
07/24/2019,09,19,28,54,60,01
07/25/2019,13,25,35,37,57,02
07/26/2019,03,20,29,40,57,01
07/27/2019,04,06,21,26,52,01
07/28/2019,10,11,38,50,54,02
07/29/2019,05,13,30,31,45,03
07/30/2019,06,10,19,26,42,04
07/31/2019,39,41,42,44,47,02
08/01/2019,04,15,32,58,60,01
08/02/2019,07,27,54,57,58,03
08/03/2019,01,06,19,47,55,01
08/04/2019,01,15,17,43,49,04
08/05/2019,09,19,24,34,56,03
08/06/2019,20,26,29,34,60,04
08/07/2019,04,13,44,50,59,01
08/08/2019,04,20,37,40,44,01
08/09/2019,02,10,35,42,56,02
08/10/2019,01,07,16,23,35,01
08/11/2019,01,15,22,25,37,03
08/12/2019,07,15,31,50,57,01
08/13/2019,03,14,17,41,56,03
08/14/2019,07,38,45,47,57,04
08/15/2019,09,16,19,37,52,02
08/16/2019,24,28,35,38,56,01
08/17/2019,05,08,09,14,25,03
08/18/2019,21,23,35,44,46,02
08/19/2019,01,15,31,43,56,04
08/20/2019,03,14,17,23,54,01
08/21/2019,05,31,35,43,50,04
08/22/2019,11,32,37,39,54,02
08/23/2019,18,34,37,45,55,04
08/24/2019,05,27,40,43,50,01
08/25/2019,13,16,31,34,50,03
08/26/2019,19,23,34,47,49,02
